"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","0805","90mil","1380mil","90mil","1380mil","90mil","1342.599mil","T","90.00","4u7"
"C2","VP52-2.5","540mil","1700mil","540mil","1700mil","540mil","1550mil","T","90.00","47nF/X2"
"C3","0603","1210mil","850mil","1210mil","850mil","1243.465mil","850mil","T","180.00","100nF"
"C4","0805","1210mil","780mil","1210mil","780mil","1247.401mil","780mil","T","180.00","4u7"
"C5","VP52-2.5","880mil","1550mil","880mil","1550mil","730mil","1550mil","T","360.00","47nF/X2"
"C6","VP52-2.5","1350mil","1550mil","1350mil","1550mil","1200mil","1550mil","T","360.00","47nF/X2"
"C7","0603","900mil","200mil","900mil","200mil","933.465mil","200mil","T","180.00","100nF"
"D1","SOD323","340mil","1480mil","340mil","1480mil","293.74mil","1480mil","T","180.00","1N4148"
"D2","SOD323","130mil","1480mil","130mil","1480mil","176.26mil","1480mil","T","360.00","1N4148"
"D3","SOD323","130mil","1280mil","130mil","1280mil","176.26mil","1280mil","T","360.00","1N4148"
"D4","SOD323","340mil","1550mil","340mil","1550mil","386.26mil","1550mil","T","360.00","1N4148"
"D5","SOD323","140mil","1550mil","140mil","1550mil","93.74mil","1550mil","T","180.00","1N4148"
"D6","ONSC-TO-220-3-221A-07","860mil","1840mil","860mil","1840mil","760mil","1840mil","T","90.00","BTA16-600"
"D7","ONSC-TO-220-3-221A-07","1340mil","1840mil","1340mil","1840mil","1240mil","1840mil","T","90.00","BTA16-600"
"P1","HDR1X3","1320mil","100mil","1220mil","100mil","1220mil","100mil","T","360.00","MOTOR_RPM_SENSOR"
"P2","TERMINAL_BLOK_2","250mil","2170mil","250mil","2170mil","348.425mil","2170mil","T","90.00","220VAC"
"P3","TERMINAL_BLOK_3","800mil","2170mil","800mil","2170mil","600mil","2170mil","T","90.00","FAN_MOTOR"
"P4","TERMINAL_BLOK_2","1340mil","2170mil","1340mil","2170mil","1241.575mil","2170mil","T","270.00","COOLING_VALVE"
"P5","HDR1X2","900mil","100mil","950mil","100mil","950mil","100mil","T","180.00","NTC_2K_FANCOIL"
"P6","HDR1X2","1260mil","350mil","1210mil","350mil","1210mil","350mil","T","360.00","STATUS_LED"
"Q1","SOT23_N","130mil","1170mil","130mil","1170mil","167.402mil","1211.339mil","T","270.00","BC817"
"R1","6-0805","890mil","810mil","890mil","810mil","927.402mil","810mil","T","180.00","1K"
"R2","6-0805","1140mil","490mil","1140mil","490mil","1177.401mil","490mil","T","180.00","1K"
"R3","6-0805","330mil","1410mil","330mil","1410mil","367.401mil","1410mil","T","180.00","1K"
"R4","6-0805","370mil","1640mil","370mil","1640mil","332.599mil","1640mil","T","360.00","56K"
"R5","6-0805","410mil","1760mil","410mil","1760mil","410mil","1722.599mil","T","90.00","56K"
"R6","6-0805","330mil","1840mil","330mil","1840mil","330mil","1802.599mil","T","90.00","56K"
"R7","6-0805","360mil","1960mil","360mil","1960mil","322.599mil","1960mil","T","360.00","56K"
"R8","6-0805","180mil","1380mil","180mil","1380mil","180mil","1342.599mil","T","90.00","10K"
"R9","6-0805","870mil","320mil","870mil","320mil","870mil","357.401mil","T","270.00","220R"
"R10","6-0805","990mil","320mil","990mil","320mil","990mil","357.401mil","T","270.00","220R"
"R11","6-0805","120mil","1650mil","120mil","1650mil","157.401mil","1650mil","T","180.00","56K"
"R12","6-0805","80mil","1770mil","80mil","1770mil","80mil","1732.599mil","T","90.00","56K"
"R13","6-0805","160mil","1840mil","160mil","1840mil","160mil","1802.599mil","T","90.00","56K"
"R14","6-0805","120mil","1960mil","120mil","1960mil","157.401mil","1960mil","T","180.00","56K"
"R15","6-0805","1140mil","590mil","1140mil","590mil","1177.401mil","590mil","T","180.00","1K"
"R16","6-0805","800mil","1440mil","800mil","1440mil","762.598mil","1440mil","T","360.00","220R"
"R17","6-0805","950mil","1440mil","950mil","1440mil","912.598mil","1440mil","T","360.00","220R"
"R18","6-0805","950mil","1660mil","950mil","1660mil","987.402mil","1660mil","T","180.00","220R"
"R19","6-0805","800mil","1660mil","800mil","1660mil","837.402mil","1660mil","T","180.00","220R"
"R20","6-0805","590mil","1020mil","590mil","1020mil","627.402mil","1020mil","T","180.00","220R"
"R21","6-0805","1140mil","690mil","1140mil","690mil","1177.401mil","690mil","T","180.00","1K"
"R22","6-0805","1240mil","1440mil","1240mil","1440mil","1202.599mil","1440mil","T","360.00","220R"
"R23","6-0805","1400mil","1440mil","1400mil","1440mil","1362.599mil","1440mil","T","360.00","220R"
"R24","6-0805","1425mil","1665mil","1425mil","1665mil","1462.401mil","1665mil","T","180.00","220R"
"R25","6-0805","1265mil","1665mil","1265mil","1665mil","1302.401mil","1665mil","T","180.00","220R"
"R26","6-0805","1080mil","980mil","1080mil","980mil","1080mil","1017.402mil","T","270.00","220R"
"R27","6-0805","1420mil","310mil","1420mil","310mil","1420mil","272.599mil","T","90.00","220R"
"U1","M14A_N","890mil","590mil","890mil","590mil","795.512mil","740mil","T","360.00","74AC14SC"
"U2","DIP-4","320mil","1160mil","320mil","1160mil","370mil","1310mil","T","270.00","PC817"
"U3","DIP6","860mil","1170mil","760mil","1020mil","760mil","1020mil","T","90.00","MOC3052"
"U4","DIP6","1300mil","1160mil","1200mil","1010mil","1200mil","1010mil","T","90.00","MOC3083"
"J1","15-43-8501","350mil","613.961mil","350mil","24mil","175mil","688.961mil","T","0.00","THERMOSTAT"

